timestamp,cpu_percent,ram_percent,cpu_freq
2026-02-08T11:22:46.889107,7.3,15.5,2100.0
2026-02-08T11:22:47.389637,5.6,15.5,2100.0
2026-02-08T11:22:47.890294,13.2,15.5,2100.0
2026-02-08T11:22:48.391312,6.5,15.5,2100.0
2026-02-08T11:22:48.892497,11.5,15.5,2100.0
2026-02-08T11:22:49.393551,5.3,15.5,2100.0
2026-02-08T11:22:49.894492,3.9,15.5,2100.0
2026-02-08T11:22:50.395173,8.9,15.5,2100.0
2026-02-08T11:22:50.896183,7.0,15.5,2100.0
2026-02-08T11:22:51.397364,4.5,15.5,2100.0
2026-02-08T11:22:51.898012,6.6,15.5,2100.0
2026-02-08T11:22:52.398773,9.1,15.5,2100.0
2026-02-08T11:22:52.899453,9.0,15.5,2100.0
2026-02-08T11:22:53.400336,8.6,15.5,2100.0
2026-02-08T11:22:53.900801,14.6,15.5,2100.0
2026-02-08T11:22:54.401433,5.3,15.5,2100.0
2026-02-08T11:22:54.902414,8.2,15.5,2100.0
2026-02-08T11:22:55.403095,7.4,15.5,2100.0
2026-02-08T11:22:55.905258,7.1,15.5,2100.0
2026-02-08T11:22:56.406145,4.2,15.5,2100.0
2026-02-08T11:22:56.906951,15.6,15.6,2100.0
2026-02-08T11:22:57.407975,5.4,15.6,2100.0
2026-02-08T11:22:57.909215,7.1,15.6,2100.0
2026-02-08T11:22:58.412678,10.9,15.6,2100.0
2026-02-08T11:22:58.913632,8.8,15.6,2100.0
2026-02-08T11:22:59.414805,8.1,15.6,2100.0
2026-02-08T11:22:59.915992,5.6,15.6,2100.0
2026-02-08T11:23:00.416694,8.5,15.6,2100.0
2026-02-08T11:23:00.917352,7.5,15.6,2100.0
2026-02-08T11:23:01.418121,7.9,15.6,2100.0
2026-02-08T11:23:01.918559,8.0,15.6,2100.0
2026-02-08T11:23:02.419167,6.0,15.6,2100.0
2026-02-08T11:23:02.919836,7.0,15.5,2100.0
2026-02-08T11:23:03.420626,16.1,15.6,2100.0
2026-02-08T11:23:03.921069,5.0,15.6,2100.0
2026-02-08T11:23:04.421915,6.6,15.6,2100.0
2026-02-08T11:23:04.922520,4.3,15.6,2100.0
2026-02-08T11:23:05.423058,8.7,15.6,2100.0
2026-02-08T11:23:05.924930,4.9,15.6,2100.0
2026-02-08T11:23:06.427064,6.5,15.6,2100.0
2026-02-08T11:23:06.927914,4.7,15.6,2100.0
2026-02-08T11:23:07.428424,10.9,15.6,2100.0
2026-02-08T11:23:07.929940,5.3,15.6,2100.0
2026-02-08T11:23:08.430599,7.4,15.6,2100.0
2026-02-08T11:23:08.931256,5.3,15.6,2100.0
2026-02-08T11:23:09.431976,11.0,15.5,2100.0
2026-02-08T11:23:09.932526,5.0,15.5,2100.0
2026-02-08T11:23:10.433242,5.3,15.5,2100.0
2026-02-08T11:23:10.934038,5.9,15.5,2100.0
2026-02-08T11:23:11.434651,5.7,15.5,2100.0
2026-02-08T11:23:11.935250,5.9,15.5,2100.0
2026-02-08T11:23:12.435702,7.4,15.5,2100.0
2026-02-08T11:23:12.936501,9.4,15.5,2100.0
2026-02-08T11:23:13.437348,4.6,15.5,2100.0
2026-02-08T11:23:13.938183,2.8,15.5,2100.0
2026-02-08T11:23:14.438971,6.2,15.5,2100.0
2026-02-08T11:23:14.939608,12.5,15.5,2100.0
2026-02-08T11:23:15.441514,6.6,15.5,2100.0
2026-02-08T11:23:15.942512,8.3,15.5,2100.0
2026-02-08T11:23:16.442890,2.6,15.5,2100.0
2026-02-08T11:23:16.943796,5.2,15.5,2100.0
2026-02-08T11:23:17.444975,11.1,15.5,2100.0
2026-02-08T11:23:17.945781,5.2,15.5,2100.0
2026-02-08T11:23:18.446848,11.5,15.5,2100.0
2026-02-08T11:23:18.947526,6.5,15.5,2100.0
2026-02-08T11:23:19.448273,6.2,15.5,2100.0
2026-02-08T11:23:19.949073,6.8,15.5,2100.0
2026-02-08T11:23:20.449567,4.9,15.5,2100.0
2026-02-08T11:23:20.950013,3.2,15.5,2100.0
2026-02-08T11:23:21.450741,8.8,15.5,2100.0
2026-02-08T11:23:21.951252,10.1,15.5,2100.0
2026-02-08T11:23:22.451664,8.3,15.5,2100.0
2026-02-08T11:23:22.952509,4.9,15.5,2100.0
